,DesSec,CodSec
0,COMERCIO,400
1,SALUD Y SANEAMIENTO,401
2,VIVIENDA Y DESARROLLO URBANO,402
3,EDUCACION Y CULTURA,403
4,ADMINISTRACION Y PLANEAMIENTO,404
5,DEFENSA Y SEGURIDAD NACIONAL,405
6,TRANSPORTE,406
7,AGRARIA,407
8,CULTURA Y DEPORTE,408
9,AGROPECUARIA,409
10,ENERGIA,410
11,SALUD,411
12,PROTECCION SOCIAL,412
13,ORDEN PUBLICO Y SEGURIDAD,413
14,SANEAMIENTO,414
15,TURISMO,415
16,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",416
17,EDUCACION,417
18,ASISTENCIA Y PREVISION SOCIAL,418
19,AMBIENTE,419
20,"INDUSTRIA, COMERCIO Y SERVICIOS",420
21,ENERGIA Y RECURSOS MINERALES,421
22,PESCA,422
23,DEFENSA Y SEGURIDAD CIUDADANA,423
24,COMUNICACIONES,424
25,OTROS,425
26,TRABAJO,426
27,INDUSTRIA,427
28,PREVISION SOCIAL,428
29,JUSTICIA,429
30,MINERIA,430
31,RELACIONES EXTERIORES,431
